iter	MultiClass
164	0.3185884961
165	0.31855753
166	0.3185407194
167	0.3185263053
168	0.3185125908
169	0.318497972
170	0.3184481621
171	0.3184340208
172	0.3184201677
173	0.3184068133
174	0.3183784094
175	0.3183372619
176	0.3183264229
177	0.318300052
178	0.3182874204
179	0.3182697931
180	0.3182578393
181	0.3182236838
182	0.3181958691
183	0.3181831496
184	0.3181666599
185	0.3181322651
186	0.3181139322
187	0.3180983665
188	0.3180866434
189	0.3180621988
190	0.3180547813
191	0.3180437307
192	0.3180114588
193	0.3179920628
194	0.3179811344
195	0.3179706864
196	0.3179564255
197	0.3179381302
198	0.3179243368
199	0.3178950253
200	0.3178848744
201	0.3178718255
202	0.3178573564
203	0.3178474862
204	0.3178299297
205	0.3178205416
206	0.3178082384
207	0.3177990669
208	0.3177902752
209	0.3177732149
210	0.317761507
211	0.3177308092
212	0.3177221562
213	0.3177010499
214	0.3176926433
215	0.3176843397
216	0.3176720695
217	0.3176443844
218	0.3176209319
219	0.3176122722
220	0.3175955768
221	0.3175793422
222	0.3175707403
223	0.3175625021
224	0.3175544987
225	0.3175464957
226	0.3175393628
227	0.3175179093
228	0.31749677
229	0.3174899704
230	0.317483419
231	0.3174758301
232	0.3174658426
233	0.3174512308
234	0.317437523
235	0.3174312394
236	0.3174181946
237	0.3174108858
238	0.3174038302
239	0.3173827805
240	0.3173654575
241	0.317358722
242	0.3173414022
243	0.317334358
244	0.3173282632
245	0.3173216935
246	0.3173153387
247	0.3173000138
248	0.3172938615
249	0.3172879028
250	0.3172840729
251	0.3172685326
252	0.3172523675
253	0.3172451787
254	0.3172330984
255	0.317217009
256	0.31720815
257	0.3172022603
258	0.3171868974
259	0.3171757278
260	0.3171642192
261	0.3171480876
262	0.3171426133
263	0.317137008
264	0.3171288917
265	0.3171144829
266	0.3170992855
267	0.3170856673
268	0.3170694483
269	0.3170588396
270	0.3170468979
271	0.3170348623
272	0.3170270295
273	0.3170215591
274	0.3170097734
275	0.317003165
276	0.3169896201
277	0.3169786329
278	0.3169702702
279	0.3169650431
280	0.316957846
281	0.3169528467
282	0.3169424727
283	0.3169322578
284	0.3169214688
285	0.3169164968
286	0.316907679
287	0.3169017974
288	0.3168961571
289	0.3168839208
290	0.3168751056
291	0.3168646584
292	0.3168599438
293	0.3168543986
294	0.3168444079
295	0.3168319014
296	0.3168273033
297	0.3168226856
298	0.316818273
299	0.3168118125
300	0.3168067093
301	0.316798567
302	0.3167935091
303	0.3167832129
304	0.3167783356
305	0.3167668124
306	0.3167625984
307	0.3167575308
308	0.3167494187
309	0.3167435665
310	0.3167395356
311	0.3167356656
312	0.3167310097
313	0.3167226548
314	0.3167151759
315	0.3167062796
316	0.3167035727
317	0.3166996402
318	0.316691242
319	0.3166868108
320	0.3166784584
321	0.3166758558
322	0.3166702042
323	0.3166666445
324	0.3166632213
325	0.3166543581
326	0.3166510382
327	0.3166405966
328	0.3166353707
329	0.3166310236
330	0.3166282372
331	0.3166213484
332	0.3166128907
333	0.316605047
334	0.3166026827
335	0.3165953623
336	0.3165909564
337	0.3165870103
338	0.3165838824
339	0.3165801637
340	0.316575305
341	0.3165654434
342	0.3165633019
343	0.3165586186
344	0.3165540673
345	0.3165513503
346	0.3165435815
347	0.3165362219
348	0.3165282287
349	0.3165184172
350	0.3165139467
351	0.3165065056
352	0.3164998479
353	0.3164954685
354	0.3164876949
355	0.3164838895
356	0.3164746663
357	0.3164662385
358	0.3164581993
359	0.3164561631
360	0.3164521781
361	0.3164484912
362	0.3164416834
363	0.3164355454
364	0.3164319765
365	0.3164291074
366	0.3164240432
367	0.3164165243
368	0.3164103208
369	0.3164048345
370	0.3164028191
371	0.3163957215
372	0.3163922444
373	0.3163855104
374	0.3163801684
375	0.3163773979
376	0.3163741818
377	0.3163683102
378	0.3163651708
379	0.3163633309
380	0.316358281
381	0.3163547253
382	0.3163520698
383	0.3163462407
384	0.3163437127
385	0.3163376605
386	0.3163337383
387	0.3163282095
388	0.3163252347
389	0.3163198895
390	0.3163154015
391	0.316311175
392	0.3163076326
393	0.3163016261
394	0.3162966494
395	0.316291821
396	0.3162899334
397	0.316286128
398	0.3162832516
399	0.3162804741
400	0.3162768442
401	0.3162718673
402	0.3162696189
403	0.3162661674
404	0.3162645067
405	0.3162587929
406	0.3162547138
407	0.3162520512
408	0.3162499346
409	0.316247896
410	0.3162459281
411	0.3162426917
412	0.31623718
413	0.316234609
414	0.3162280454
415	0.3162261439
416	0.31622321
417	0.3162186514
418	0.3162146876
419	0.3162121772
420	0.316209069
421	0.3162065684
422	0.3162041415
423	0.3162013403
424	0.3161995499
425	0.3161927604
426	0.3161884698
427	0.316182482
428	0.3161801137
429	0.3161771522
430	0.3161721506
431	0.3161680782
432	0.3161663038
433	0.3161614687
434	0.316159752
435	0.3161570394
436	0.3161542017
437	0.3161519697
438	0.3161503362
439	0.3161481676
440	0.316144274
441	0.3161404201
442	0.3161387905
443	0.3161374633
444	0.3161348484
445	0.3161327617
446	0.316130734
447	0.3161261443
448	0.3161245627
449	0.3161194643
450	0.3161150789
451	0.3161135367
452	0.3161123296
453	0.3161070938
454	0.316103552
455	0.3161010982
456	0.3160955671
457	0.3160938665
458	0.3160901446
459	0.3160873676
460	0.3160852134
461	0.316079519
462	0.3160768863
463	0.3160745684
464	0.3160697039
465	0.3160652875
466	0.3160630801
467	0.3160609461
468	0.3160588784
469	0.316053709
470	0.3160484955
471	0.3160458917
472	0.3160439084
473	0.3160406357
474	0.3160386033
475	0.3160342963
476	0.3160297721
477	0.3160278067
478	0.3160246438
479	0.3160206292
480	0.3160190592
481	0.316017108
482	0.3160151781
483	0.3160125909
484	0.3160086329
485	0.3160067074
486	0.3160020398
487	0.3159981657
488	0.3159940534
489	0.3159901677
490	0.315986449
491	0.3159845335
492	0.3159828373
493	0.3159788768
494	0.3159770206
495	0.3159732262
496	0.3159706562
497	0.3159673677
498	0.3159655406
499	0.3159637537
